,ids ,vgs ,vds ,vbs ,vgd ,vdb ,vgb ,vth ,vdsat ,gm ,gds ,gmbs ,betaeff ,cjd ,cjs ,cgg ,cgd ,cgs ,cgb ,cdg ,cdd ,cds ,cdb ,csg ,csd ,css ,csb ,cbg ,cbd ,cbs ,cbb ,covlgs ,covlgd ,covlgb ,cggbo ,cgdbo ,cgsbo ,cbgbo ,cbdbo ,cbsbo ,cdgbo ,cddbo ,cdsbo ,ron ,id ,ig ,is ,ib ,ibulk ,pwr ,gmoverid ,ueff ,rdeff ,rseff ,rgbd ,igidl ,igisl ,igdt ,igd ,igs ,igb ,igbacc ,igbinv ,igcs ,igcd ,isub ,gbs ,gbd ,qg ,qd ,qs ,qb ,qjd ,qjs ,qgdovl ,qgsovl ,qgi ,qdi ,qsi ,qbi ,ide ,ige ,ise ,ibe ,idb ,isb ,vsb ,gmb ,vgt ,vth_drive ,vdss ,vsat_marg ,vdsat_marg ,self_gain ,rout ,beff ,fug ,ft ,rgate ,vearly ,region ,reversed 
0, 4.487612531238708e-07, 4.000000000000000e-01, 4.000000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e-01, 4.000000000000000e-01, 5.188756172348600e-01, 5.931290515848476e-02, 1.002580414895437e-05, 2.884271662505673e-07, 1.545421875623841e-06, 1.411330808155202e-03, 3.933201300988655e-16, 4.498055413877459e-16, 1.091131685232574e-15, -1.757839768091575e-16, -6.931731657489715e-16, -2.221745426744454e-16, -1.826240606647716e-16, 1.814451482310938e-16, 1.476941731727275e-18, -2.980292980494263e-19, -6.689234134703002e-16, -6.089249771085712e-18, 7.532218826481937e-16, -7.820921940680783e-17, -2.395842110975026e-16, 4.280783491494289e-19, -6.152565863094947e-17, 3.006817913793026e-16, 1.817479021882492e-16, 1.807649767895917e-16, 0.000000000000000e+00, 7.286188062547335e-16, 4.980999980434170e-18, -5.114252635607223e-16, -2.395842110975026e-16, 4.280783491494289e-19, -6.152565863094948e-17, -1.859083875179961e-18, 6.801714415021125e-19, 1.476941731727275e-18, 8.913425506671111e+05, 4.487612228923193e-07, NaN, NaN, NaN, -1.094346035921030e-15, 1.795044891569277e-07, 2.234106460654474e+01, 2.361918102244362e-02, 7.812919547299423e+01, 7.812919547299423e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 8.580688080409145e-14, 1.503009667415301e-19, 2.260460822685035e-14, 9.774426195570837e-16, 9.774426195570837e-16, 6.460373900946512e-33, 3.187637843723549e-14, 3.034830121948178e-14, 1.275748085905938e-21, 1.000095075518363e-12, 1.000836368098897e-12, 5.372083828392235e-16, -3.208426235807848e-19, -4.463032438434691e-17, -4.922572158312957e-16, -1.675664920670327e-16, -1.577092331388631e-20, 1.755752266754434e-19, 3.427125071190685e-18, 5.372083828392235e-16, -3.208426235807848e-19, -4.463032438434691e-17, -4.922572158312957e-16, 4.487620227871351e-07, 8.580688080409145e-14, -4.487617074996699e-07, -4.010943460112879e-13, 4.000818373904604e-13, 3.506472552230668e-17, -0.000000000000000e+00, 1.545421875623841e-06, -1.188756172348600e-01, NaN, 5.931290515848476e-02, 3.406870948415153e-01, NaN, 3.476026297829584e+01, 3.467079793486801e+06, 6.351269228340446e-05, 1.462386539015415e+09, NaN, 0.000000000000000e+00, 1.555893741289539e+00, 3, 0
1, 4.532949477423663e-07, 4.000000000000000e-01, 4.000000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e-01, 4.000000000000000e-01, 4.893527346683809e-01, 5.448207957821928e-02, 9.993886225557035e-06, 1.983650126460002e-07, 1.661961320373993e-06, 1.112185601864572e-03, 6.920370944987235e-16, 7.942174730968435e-16, 4.703951851195252e-15, -3.010189922933274e-16, -3.484146588650581e-15, -9.187862702513431e-16, -3.375297636346346e-16, 3.304211051968570e-16, 9.198799072410306e-18, -2.090140634632657e-18, -3.236961242659515e-15, -3.077192540733624e-17, 3.784267726348594e-15, -5.165345582817427e-16, -1.129460844901102e-15, 1.369812503806569e-18, -3.093199367704234e-16, 1.437410969167718e-15, 3.274280368002287e-16, 3.256570565997318e-16, 0.000000000000000e+00, 4.050866757795291e-15, 2.463806430640448e-17, -3.156718551850352e-15, -1.129460844901102e-15, 1.369812503806569e-18, -3.093199367704234e-16, -1.187270703490283e-17, 4.764048597125185e-18, 9.198799072410306e-18, 8.824276599423806e+05, 4.532948147306105e-07, NaN, NaN, NaN, -4.617334041848166e-15, 1.813179258922442e-07, 2.204720408937171e+01, 2.601912283467164e-02, 4.335685689108539e+01, 4.335685689108539e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.177186671963611e-13, 1.519877058232329e-19, 4.072703350830595e-14, 4.406850930148734e-15, 4.406850930148734e-15, 3.469498884838200e-32, 1.393625470909802e-13, 1.332220836792204e-13, 9.037721914645071e-22, 1.000165784798093e-12, 1.001506907568667e-12, 2.621610771162626e-15, -1.309644253408051e-18, -2.784620607426164e-16, -2.341839066166602e-15, -2.953478969919972e-16, -1.562358053585815e-20, 3.161013233809449e-19, 6.174372456569270e-18, 2.621610771162626e-15, -1.309644253408051e-18, -2.784620607426164e-16, -2.341839066166602e-15, 4.532956146715957e-07, 3.177186671963611e-13, -4.532955277729289e-07, -4.046173340379774e-13, 4.001908073593979e-13, 1.967484465850674e-17, -0.000000000000000e+00, 1.661961320373993e-06, -8.935273466838084e-02, NaN, 5.448207957821928e-02, 3.455179204217808e-01, NaN, 5.038129502903823e+01, 5.041211585959406e+06, 1.135522687389198e-04, 3.381361977783103e+08, NaN, 0.000000000000000e+00, 2.285159104547039e+00, 3, 0
2, 4.673313235380347e-07, 4.000000000000000e-01, 4.000000000000000e-01, 0.000000000000000e+00, 0.000000000000000e+00, 4.000000000000000e-01, 4.000000000000000e-01, 4.758468408148631e-01, 5.367734495600396e-02, 1.002085923830865e-05, 1.656914755710786e-07, 1.715163023014180e-06, 9.558452165525255e-04, 9.173838473735342e-16, 1.054035461219943e-15, 1.025963731573687e-14, -3.839942627889131e-16, -8.022404593329434e-15, -1.853238459618522e-15, -4.641609277465572e-16, 4.472758368426596e-16, 2.220062959531054e-17, -5.315538691412948e-18, -7.340508628102334e-15, -6.518542196212091e-17, 8.677538737388158e-15, -1.271844687323704e-15, -2.454967759887978e-15, 1.903847908374372e-18, -6.773347736540347e-16, 3.130398685633638e-15, 4.373264938507249e-16, 4.349610249062227e-16, 0.000000000000000e+00, 9.387349796979921e-15, 5.096676211730964e-17, -7.585078099478708e-15, -2.454967759887978e-15, 1.903847908374372e-18, -6.773347736540347e-16, -2.919990284033449e-17, 1.231481193643690e-17, 2.220062959531054e-17, 8.559237950747919e+05, 4.673310316487674e-07, NaN, NaN, NaN, -9.722997613663675e-15, 1.869324126595070e-07, 2.144272967290858e+01, 2.695050115664135e-02, 3.245892467573329e+01, 3.245892467573329e+01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 6.614401891673706e-13, 1.566896094586983e-19, 5.439815590474215e-14, 9.441920020127794e-15, 9.441920020127794e-15, 8.417011632806530e-32, 3.054297717137302e-13, 2.921701848391610e-13, 8.300786067068662e-22, 1.000219123770561e-12, 1.002012746102975e-12, 5.786202384366673e-15, -2.958163724330211e-18, -6.904889190143081e-16, -5.092755301628034e-15, -3.917434290365369e-16, -1.600230641403916e-20, 4.221176705114778e-19, 8.246839376790041e-18, 5.786202384366673e-15, -2.958163724330211e-18, -6.904889190143081e-16, -5.092755301628034e-15, 4.673318316032218e-07, 6.614401891673706e-13, -4.673320833204133e-07, -4.097229976217295e-13, 4.002658915509372e-13, 1.518522058585090e-17, -0.000000000000000e+00, 1.715163023014180e-06, -7.584684081486309e-02, NaN, 5.367734495600396e-02, 3.463226550439961e-01, NaN, 6.047902708193271e+01, 6.035313503928682e+06, 1.624726883687262e-04, 1.554508441890629e+08, NaN, 0.000000000000000e+00, 2.820494114090649e+00, 3, 0
